County,Line,Facility_Name,Total_Emissions,Facility_Category,City,HoustonGalvestonBrazoria,TCEQ_12,Disaster_County,Harvey,Cause_Code,Event_Type,Event_Start_Date,Based_On,Event_End_Date,Y,X,Event_Start_Time,Event_End_Time,Zip,Total_2017_Events
NUECES,176,VALERO CORPUS CHRISTI REFINERY WEST PLANT,230,REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,POST-HURRICANE START UP,EMISSIONS EVENT,09/06/2017,,,27.817750,-97.482553,,,78407,6
HARRIS,177,VALERO PARTNERS HOUSTON,"235,412",REFINERY,HOUSTON,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/27/2017,FINAL REPORT,09/14/2017,29.722274,-95.254401,11:00:00 AM,5:00:00 PM,77012,2
JEFFERSON,178,VALERO PORT ARTHUR REFINERY,"6,116",REFINERY,PORT ARTHUR,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,09/03/2017,INITIAL REPORT,09/04/2017,29.859081,-93.968242,10:00:00 PM,2:00:00 AM,77640,21
JEFFERSON,179,VALERO PORT ARTHUR REFINERY,"62,502",REFINERY,PORT ARTHUR,NO,NO,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/29/2017,INITIAL REPORT,08/31/2017,29.859081,-93.968242,4:45:00 PM,11:45:00 AM,77640,21
JEFFERSON,180,VALERO PORT ARTHUR REFINERY,"6,116",REFINERY,PORT ARTHUR,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,09/03/2017,INITIAL REPORT,,29.859081,-93.968242,10:00:00 PM,,77640,21
JEFFERSON,181,VALERO PORT ARTHUR REFINERY,"6,116",REFINERY,PORT ARTHUR,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,09/03/2017,INITIAL REPORT,,29.859081,-93.968242,,,77640,21
JEFFERSON,182,VALERO PORT ARTHUR REFINERY,"284,915",REFINERY,PORT ARTHUR,NO,NO,YES,YES,POST-HURRICANE START UP,AIR STARTUP,09/04/2017,INITIAL REPORT,09/25/2017,29.859081,-93.968242,3:00:00 PM,3:00:00 PM,77640,21
YOAKUM,183,WASSON CO2 REMOVAL PLANT,"4,235",OIL AND GAS PRODUCTION,DENVER CITY,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/28/2017,FINAL REPORT,08/29/2017,33.022831,-102.766523,2:39:00 PM,12:43:00 PM,79323,8
DAWSON,184,WELCH CO2 GAS PROCESSING FACILITY,821,NATURAL GAS PRODUCTION,WELCH,NO,NO,NO,NO,MAINTENANCE,EMISSIONS EVENT,08/31/2017,INITIAL REPORT,08/31/2017,32.896944,-102.136939,8:45:00 AM,1:45:00 PM,79377,18
DAWSON,185,WELCH CO2 GAS PROCESSING FACILITY,"1,114",NATURAL GAS PRODUCTION,WELCH,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/04/2017,INITIAL REPORT,09/04/2017,32.896944,-102.136939,5:30:00 AM,1:53:00 PM,79377,18
DAWSON,186,WELCH CO2 GAS PROCESSING FACILITY,"2,350",NATURAL GAS PRODUCTION,WELCH,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/05/2017,32.896944,-102.136939,10:00:00 AM,3:30:00 PM,79377,18
CRANE,187,WEST WADDELL RANCH BAT 67,"7,916",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.475934,-102.698851,3:00:00 PM,2:00:00 PM,79731,6
CRANE,188,WEST WADDELL RANCH BAT 67,"2,926",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/25/2017,INITIAL REPORT,08/25/2017,31.475934,-102.698851,12:30:00 PM,9:00:00 PM,79731,6
CRANE,189,WEST WADDELL RANCH BAT 67,"23,416",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,YES,HURRICANE DISRUPTED ABILITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/30/2017,FINAL REPORT,09/05/2017,31.475934,-102.698851,6:00:00 PM,11:30:00 AM,79731,6
CRANE,190,WEST WADDELL RANCH BAT316,"2,778",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.519500,-102.684000,3:00:00 PM,2:00:00 PM,79731,5
CRANE,191,WEST WADDELL RANCH BAT316,"17,372",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/30/2017,FINAL REPORT,09/05/2017,31.519500,-102.684000,6:00:00 PM,11:30:00 AM,79731,5
CRANE,192,WEST WADDELL RANCH SAT 14,"4,229",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.483200,-102.666904,3:00:00 PM,2:00:00 PM,79731,10
CRANE,193,WEST WADDELL RANCH SAT137,"4,594",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.507804,-102.622473,3:00:00 PM,2:00:00 PM,79731,6
CRANE,194,WEST WADDELL RANCH SAT217,"4,276",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.506930,-102.628070,3:00:00 PM,2:00:00 PM,79731,6
CRANE,195,WEST WADDELL RANCH SAT220,"3,146",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.499726,-102.655349,3:00:00 PM,2:00:00 PM,79731,5
CRANE,196,WEST WADDELL RANCH SAT221,"1,915",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.500009,-102.703893,3:00:00 PM,2:00:00 PM,79731,3
CRANE,197,WEST WADDELL RANCH SAT244,"1,371",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.507158,-102.706520,3:00:00 PM,2:00:00 PM,79731,2
CRANE,198,WEST WADDELL RANCH SAT311,"1,180",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/25/2017,INITIAL REPORT,08/25/2017,31.492705,-102.653546,12:30:00 PM,9:00:00 PM,79731,3
CRANE,199,WEST WADDELL RANCH SAT311,"18,649",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,YES,HURRICANE DISRUPTED ABILITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/30/2017,FINAL REPORT,09/05/2017,31.492705,-102.653546,3:00:00 PM,11:30:00 AM,79731,3
CRANE,200,WEST WADDELL RANCH SAT521,"3,952",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.527407,-102.652309,3:00:00 PM,2:00:00 PM,79731,6
CRANE,201,WEST WADDELL RANCH SAT521,"1,460",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/25/2017,INITIAL REPORT,08/25/2017,31.527407,-102.652309,12:30:00 PM,9:00:00 PM,79731,6
CRANE,202,WEST WADDELL RANCH SAT521,"24,561",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,YES,HURRICANE DISRUPTED ABILITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/30/2017,FINAL REPORT,09/05/2017,31.527407,-102.652309,3:00:00 PM,4:30:00 PM,79731,6
DAWSON,203,WEST WELCH UNIT TRACT 52,126,OIL AND GAS PRODUCTION,WELCH,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/29/2017,FINAL REPORT,08/29/2017,32.906997,-102.147942,11:40:00 AM,3:30:00 PM,79377,8
CRANE,204,WN WADDELL NO 290 TB,"2,991",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.507975,-102.594730,3:00:00 PM,2:00:00 PM,79731,2
CRANE,205,WN WADDELL TB 11,"1,095",OIL AND GAS PRODUCTION,PENWELL,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,08/30/2017,31.507118,-102.639766,3:00:00 PM,6:00:00 PM,79776,1
CRANE,206,WWR SATELLITE 59,"3,966",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.533270,-102.645122,3:00:00 PM,2:00:00 PM,79731,6
CRANE,207,WWR SATELLITE 59,"1,465",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/25/2017,INITIAL REPORT,08/25/2017,31.533270,-102.645122,12:30:00 PM,9:00:00 PM,79731,6
CRANE,208,WWR SATELLITE 59,"17,988",OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,YES,HURRICANE DISRUPTED ABILITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/30/2017,FINAL REPORT,09/05/2017,31.533270,-102.645122,3:00:00 PM,4:30:00 PM,79731,6
